#NeuralNetwok network teach data file
[QNT ROWS]
32
[QNT OUTPUT NEUR]
3
[QNT INPUT NEUR]
5
[TEACH DATA]
4.43	4.47	-4.72	-4.09	4.20	-4.60	4.61	-4.31
-4.70	4.41	-4.72	4.03	-4.98	4.34	4.03	4.21
-4.56	4.26	4.44	-4.88	4.67	4.37	-4.96	-4.04
4.28	4.49	-4.71	4.55	-4.74	-4.76	-4.36	4.35
-4.54	-4.67	-4.71	4.50	-4.51	-4.54	4.07	-4.59
-4.74	4.27	4.33	-4.80	-4.75	4.60	-4.86	4.55
-4.68	4.29	-4.54	4.95	4.12	-4.62	4.14	-4.10
4.31	4.27	-4.60	4.30	4.06	-4.15	-4.57	-4.84
-4.53	4.39	4.32	4.64	-4.47	-4.47	4.36	4.82
-4.51	-4.63	4.25	4.65	-4.21	4.18	4.31	-4.44
4.48	-4.74	-4.65	4.69	-4.16	-4.93	-4.53	-4.20
-4.60	4.49	-4.68	-4.73	-4.88	-4.40	-4.85	4.98
4.26	-4.64	4.41	-4.13	-4.22	4.19	4.77	-5.00
-4.60	4.43	-4.70	4.51	4.71	4.77	4.87	-4.98
4.34	4.26	4.32	-4.18	-4.61	-4.19	4.14	4.58
4.40	4.32	4.43	-4.94	4.12	4.13	4.34	-4.67
-4.52	-4.62	-4.60	-4.02	4.12	-4.45	-5.00	4.15
4.26	-4.73	-4.64	4.76	4.70	-4.70	-4.15	4.14
-4.60	4.34	-4.67	4.42	4.41	-4.02	4.40	4.99
-4.62	4.38	-4.69	-4.86	4.55	-4.88	-4.94	-4.82
4.45	4.45	4.32	-4.53	-4.00	4.20	-4.53	-4.33
-4.59	-4.50	4.29	-4.02	4.21	4.26	-4.10	4.52
4.38	-4.59	4.29	-4.79	4.01	-4.84	4.83	4.44
4.31	4.36	4.34	4.05	4.34	4.61	-4.09	-4.36
4.29	4.29	4.44	4.65	-4.35	4.72	-4.33	4.03
4.48	4.38	-4.59	-4.49	-4.59	-5.00	-4.45	-4.08
-4.57	-4.61	-4.72	4.74	4.70	4.23	4.10	4.62
4.41	-4.63	-4.61	4.49	4.16	4.67	-4.11	4.19
4.35	-4.69	-4.74	-4.41	-4.89	-4.91	4.30	-4.90
4.50	4.42	-4.53	-4.34	-4.37	4.03	4.38	4.39
4.32	-4.68	4.33	4.67	-4.37	4.47	-4.09	-4.83
4.86	-4.52	-4.53	-4.30	4.39	4.01	4.99	4.89
