#NeuralNetwok network teach data file
[QNT ROWS]
26
[QNT OUTPUT NEUR]
3
[QNT INPUT NEUR]
5
[TEACH DATA]
-4.26	4.76	4.16	-4.85	-4.35	4.12	-4.94	4.34
4.47	-4.31	-4.45	4.36	4.49	-4.31	-4.16	4.31
-4.57	-4.02	-4.48	4.36	-4.22	-4.98	4.05	-4.56
4.81	-4.14	-4.27	4.26	4.31	4.5	-4.74	4.23
-4.32	4.93	-5.0	-4.23	4.58	-4.46	-4.47	-4.95
-4.12	4.62	-4.47	4.46	4.79	-4.67	4.3	-4.13
4.04	4.77	4.59	-4.46	4.72	4.94	4.77	-4.96
4.75	-4.42	-4.98	4.38	-4.11	-4.02	-4.19	-4.07
-4.1	-4.75	-4.24	4.61	4.79	4.62	4.52	5.0
4.56	4.54	4.96	4.03	4.81	4.09	-4.92	-4.82
-4.55	-4.6	-4.64	-4.58	4.51	-4.65	-4.45	4.52
-4.23	-4.28	4.64	-4.38	4.71	4.68	-4.9	4.5
-4.54	4.86	4.41	-4.35	4.76	4.31	-4.26	-4.88
-4.09	4.91	-4.36	4.98	4.49	4.18	4.25	-4.84
4.99	-4.72	-4.54	-4.23	4.17	4.17	4.42	4.41
4.2	-4.87	-4.51	-4.79	-4.02	-4.03	4.55	-4.68
-4.55	4.35	-4.93	-4.68	-4.13	-4.6	-4.39	4.21
4.59	-4.91	4.19	4.55	-4.69	4.52	-4.9	-4.37
4.79	4.11	4.02	-4.19	-4.78	4.3	-4.12	-4.04
4.3	4.77	-4.77	4.89	4.12	-4.64	-4.06	-4.11
4.44	4.55	-4.9	-4.97	4.9	-4.44	4.2	-4.77
4.89	-4.11	4.83	-4.2	-4.58	4.5	4.6	-4.55
4.05	4.98	-4.43	4.08	-4.25	-4.23	-4.31	4.42
4.6	4.98	-4.01	-4.91	-4.94	4.73	4.37	4.56
4.98	4.78	-4.76	-4.89	-4.15	-4.75	-4.1	-4.65
4.32	4.65	4.73	-4.33	-4.28	-4.83	4.62	4.11
