#NeuralNetwok network teach data file
[QNT ROWS]
98
[QNT OUTPUT NEUR]
7
[QNT INPUT NEUR]
11
[TEACH DATA]
-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50
-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	4.50
-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	4.50	-4.50	-4.50	-4.50	4.50	4.50	4.50	4.50	4.50
-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50
4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	4.50	4.50	4.50	4.50	-4.50	4.50	4.50
4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	4.50	-4.50	4.50	4.50	4.50	4.50	-4.50	4.50	4.50
4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	4.50	4.50	4.50	-4.50	4.50	4.50
4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	4.50	-4.50	4.50	4.50	4.50	4.50	-4.50	4.50	4.50
-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	4.50	-4.50	4.50	4.50	-4.50	4.50	4.50
-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	4.50	-4.50	4.50	-4.50	4.50	4.50	-4.50	4.50	4.50
-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50	4.50	4.50	-4.50	4.50	4.50
-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	4.50	-4.50	4.50	-4.50	4.50	4.50	-4.50	4.50	4.50
-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50
-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50
-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50
-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	4.50	-4.50
-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	4.50
-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	4.50	-4.50	4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	4.50
-4.50	-4.50	-4.50	4.50	-4.50	-4.50	-4.50	4.50	4.50	-4.50	-4.50	-4.50	-4.50	-4.50	4.50	-4.50	-4.50	4.50
