#NeuralNetwok network teach data file
[QNT ROWS]
32
[QNT OUTPUT NEUR]
3
[QNT INPUT NEUR]
11
[TEACH DATA]
-4.60	-4.57	-4.55	4.87	-4.72	4.17	-4.41	-4.47	-4.50	4.17	4.33	-4.23	-4.45	4.32
4.67	-4.52	-4.65	4.95	-4.84	4.01	-4.36	4.09	4.24	4.16	4.46	-4.79	4.51	4.96
-4.52	-4.59	4.69	4.96	-4.48	4.86	-4.27	-4.99	-4.79	-4.84	-4.26	-4.15	4.15	-4.83
4.58	4.58	-4.72	4.06	-4.54	4.64	-4.96	4.17	-4.60	4.70	4.32	-4.09	4.73	4.31
-4.72	-4.67	4.66	4.08	4.74	4.15	-4.51	-4.85	-4.78	4.57	4.66	-4.95	-4.80	4.83
4.55	-4.62	4.74	-4.46	-4.11	4.28	-4.35	-4.43	-4.03	4.61	4.15	-4.66	4.44	-4.59
4.55	4.52	-4.72	4.41	4.07	-4.15	-4.07	4.90	-4.18	4.19	4.11	-4.86	4.09	4.06
4.69	4.67	-4.60	-4.62	4.36	4.67	-4.94	4.50	-4.02	4.46	4.33	-4.43	4.63	4.77
-4.69	-4.70	-4.68	4.01	4.25	4.44	4.06	-4.68	-4.73	4.03	4.25	4.64	4.09	4.12
4.63	4.66	4.57	4.58	4.76	4.85	-4.10	-4.90	-4.31	-4.24	4.52	-4.54	-4.69	4.28
4.61	4.67	-4.63	4.83	4.85	4.50	-4.96	4.97	-4.09	4.90	4.60	-4.22	4.10	4.77
-4.65	-4.68	4.66	4.05	4.52	-4.72	-4.35	-4.35	-4.31	4.19	4.35	-4.51	-4.80	4.35
4.50	-4.74	4.72	-4.59	4.44	-4.24	-4.94	-4.97	-4.59	4.84	4.32	-4.95	4.84	-4.58
-4.58	4.55	4.58	-4.57	4.14	4.51	4.88	-4.22	-4.03	4.44	4.19	-4.02	4.90	-4.29
4.73	-4.66	-4.58	-4.37	4.14	4.44	-4.73	4.52	4.01	4.81	4.42	-4.03	4.21	4.58
-4.74	-4.62	-4.74	-4.23	4.25	4.78	-4.46	-4.88	-4.13	-4.30	-4.94	-4.81	-4.31	4.09
4.52	4.66	4.64	-4.55	4.80	4.05	-4.28	-4.97	-4.77	4.72	-4.69	-4.45	-4.05	4.59
-4.54	4.74	-4.60	-4.75	4.37	4.10	-4.61	-4.65	-4.60	-4.43	4.11	-4.32	-4.94	4.59
-4.61	-4.62	4.67	-4.95	4.95	4.52	-4.84	-4.52	-4.29	-4.18	-4.63	-4.55	4.21	-4.09
4.60	4.62	4.71	4.51	-4.21	4.83	-4.32	-4.00	-4.91	-4.44	4.79	-4.92	-4.90	4.39
-4.50	4.53	4.65	4.53	4.03	-4.83	4.01	-4.52	-4.91	4.60	4.16	-4.16	4.65	-4.25
4.66	4.60	4.52	4.71	4.72	-4.41	-4.84	-4.64	-4.90	-4.91	4.62	-4.43	-4.34	4.91
4.66	-4.68	-4.68	4.59	4.49	4.81	-4.91	4.99	4.16	4.95	4.92	-4.99	4.41	4.87
-4.59	4.56	4.70	4.78	-4.30	4.73	4.89	-4.26	-4.88	4.52	4.40	-4.97	4.76	-4.33
4.68	-4.72	4.75	-4.89	-4.08	-4.11	-4.45	-4.35	-4.12	4.81	4.32	-4.48	4.15	-4.68
-4.66	-4.69	-4.52	4.92	4.08	-4.42	-4.75	-4.68	-4.90	4.66	4.51	-4.52	4.94	-4.95
4.74	-4.74	4.74	4.01	-4.82	-4.83	-4.58	-4.43	-4.60	4.49	4.27	-4.50	4.56	-4.17
-4.62	4.56	-4.68	4.52	-4.61	4.26	-4.43	-5.00	-4.82	4.96	-4.86	-4.95	-4.01	4.51
-4.70	4.60	4.59	4.54	4.39	4.22	-4.96	-4.34	-4.36	4.30	4.38	-4.01	4.23	-4.65
4.56	-4.62	-4.53	4.87	4.44	-4.99	-4.49	4.58	4.86	4.09	4.05	-4.51	4.67	4.10
-4.66	4.66	-4.67	4.31	4.31	4.79	-4.42	-4.71	-4.70	4.60	-4.79	-4.36	-4.12	4.75
-4.70	4.67	-4.50	4.17	4.16	-4.49	-4.14	-4.41	-4.69	4.98	-4.51	-4.81	-4.62	4.27
